"Step","mlm_1122_RI_BL - eval/accuracy","mlm_1122_RI_BL - eval/accuracy__MIN","mlm_1122_RI_BL - eval/accuracy__MAX","mlm_1122_RI_B6_nR2_SmT1 - eval/accuracy","mlm_1122_RI_B6_nR2_SmT1 - eval/accuracy__MIN","mlm_1122_RI_B6_nR2_SmT1 - eval/accuracy__MAX","mlm_1122_RI_Lall_nR4_SmT1 - eval/accuracy","mlm_1122_RI_Lall_nR4_SmT1 - eval/accuracy__MIN","mlm_1122_RI_Lall_nR4_SmT1 - eval/accuracy__MAX"
"1","0.09909678359677507","0.0972679660925436","0.10092560110100655","0.19622844827586206","0.19622844827586206","0.19622844827586206","0.17451508620689654","0.17451508620689654","0.17451508620689654"
"3","0.11550251941474189","0.11298609984314999","0.1180189389863338","0.22483519440333646","0.22483519440333646","0.22483519440333646","0.21735503834252656","0.21735503834252656","0.21735503834252656"
"5","0.12457533167177856","0.12429378531073447","0.12485687803282264","0.25082419067178297","0.25082419067178297","0.25082419067178297","0.25501270064313897","0.25501270064313897","0.25501270064313897"
"7","0.13085177457211739","0.12936725165029786","0.13233629749393694","0.2694511130510694","0.2694511130510694","0.2694511130510694","0.2825458315146224","0.2825458315146224","0.2825458315146224"
"9","0.13303950091859917","0.132724037528308","0.13335496430889032","0.28561359754940496","0.28561359754940496","0.28561359754940496","0.30158041692645504","0.30158041692645504","0.30158041692645504"
"11","0.13117876780866733","0.12945361720616988","0.13290391841116478","0.29138163210342044","0.29138163210342044","0.29138163210342044","0.3064099111230811","0.3064099111230811","0.3064099111230811"
"13","0.1361058416901314","0.13550391786003782","0.13670776552022496","0.30388501648025074","0.30388501648025074","0.30388501648025074","0.3212838385475766","0.3212838385475766","0.3212838385475766"
"15","0.13523310246886286","0.1348149758191599","0.1356512291185658","0.31333639730730756","0.31333639730730756","0.31333639730730756","0.3292330152207413","0.3292330152207413","0.3292330152207413"
"17","0.13764493833282626","0.13756354837832693","0.13772632828732562","0.317954944017267","0.317954944017267","0.317954944017267","0.3360852556319978","0.3360852556319978","0.3360852556319978"
"19","0.13861986188300598","0.1369963171577123","0.14024340660829968","0.32594270917624213","0.32594270917624213","0.32594270917624213","0.3442034849220478","0.3442034849220478","0.3442034849220478"
"21","0.13903984812769354","0.13716741933728713","0.14091227691809996","0.3281711114119399","0.3281711114119399","0.3281711114119399","0.34566129687288477","0.34566129687288477","0.34566129687288477"
"23","0.13978451339109405","0.13874253600280997","0.14082649077937812","0.3279626766484932","0.3279626766484932","0.3279626766484932","0.34833319771068977","0.34833319771068977","0.34833319771068977"
"25","0.13555809669762556","0.13370829257689382","0.1374079008183573","0.33454941464742716","0.33454941464742716","0.33454941464742716","0.35074870677919956","0.35074870677919956","0.35074870677919956"
"27","0.13592626866075636","0.13458059987581328","0.1372719374456994","0.3373522836154583","0.3373522836154583","0.3373522836154583","0.35260300223570745","0.35260300223570745","0.35260300223570745"
"29","0.1373647959102689","0.13633163652117405","0.13839795529936375","0.3455590640433973","0.3455590640433973","0.3455590640433973","0.3628586079399779","0.3628586079399779","0.3628586079399779"
